zip,Zipcode name,City,State,County Name
99170,"ROSALIA, WA",ROSALIA,WA,WHITMAN
98643,"ROSBURG, WA",ROSBURG,WA,WAHKIAKUM
98941,"ROSLYN, WA",ROSLYN,WA,KITTITAS
98580,"ROY, WA",ROY,WA,PIERCE
99357,"ROYAL CITY, WA",ROYAL CITY,WA,GRANT
99171,"SAINT JOHN, WA",SAINT JOHN,WA,WHITMAN
98582,"SALKUM, WA",SALKUM,WA,LEWIS
98074,"SAMMAMISH, WA",SAMMAMISH,WA,KING
98075,"SAMMAMISH, WA",SAMMAMISH,WA,KING
98583,"SATSOP, WA",SATSOP,WA,GRAYS HARBOR
98380,"SEABECK, WA",SEABECK,WA,KITSAP
98062,"SEAHURST, WA",SEAHURST,WA,KING
98101,"SEATTLE, WA",SEATTLE,WA,KING
98102,"SEATTLE, WA",SEATTLE,WA,KING
98103,"SEATTLE, WA",SEATTLE,WA,KING
98104,"SEATTLE, WA",SEATTLE,WA,KING
98105,"SEATTLE, WA",SEATTLE,WA,KING
98106,"SEATTLE, WA",SEATTLE,WA,KING
98107,"SEATTLE, WA",SEATTLE,WA,KING
98108,"SEATTLE, WA",SEATTLE,WA,KING
98109,"SEATTLE, WA",SEATTLE,WA,KING
98111,"SEATTLE, WA",SEATTLE,WA,KING
98112,"SEATTLE, WA",SEATTLE,WA,KING
98113,"SEATTLE, WA",SEATTLE,WA,KING
98114,"SEATTLE, WA",SEATTLE,WA,KING
98115,"SEATTLE, WA",SEATTLE,WA,KING
98116,"SEATTLE, WA",SEATTLE,WA,KING
98117,"SEATTLE, WA",SEATTLE,WA,KING
98118,"SEATTLE, WA",SEATTLE,WA,KING
98119,"SEATTLE, WA",SEATTLE,WA,KING
98121,"SEATTLE, WA",SEATTLE,WA,KING
98122,"SEATTLE, WA",SEATTLE,WA,KING
98124,"SEATTLE, WA",SEATTLE,WA,KING
98125,"SEATTLE, WA",SEATTLE,WA,KING
98126,"SEATTLE, WA",SEATTLE,WA,KING
